"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.648273778E2,6.504645027E1,2.543274322E1,6.010896466E0,1.475353729E0,8.614449023E1,3.669461407E0,4.345250182E0
1.658273675E2,6.504645222E1,2.543277766E1,6.198276765E0,1.491411597E0,8.201091446E1,3.658248158E0,4.437644972E0
1.668273561E2,6.504645467E1,2.543280943E1,6.209192616E0,1.491119289E0,7.660884734E1,3.688916773E0,4.594527469E0
1.678273455E2,6.504645302E1,2.543284902E1,6.761839289E0,1.516367917E0,8.186634103E1,3.675632351E0,4.643900746E0
1.688273349E2,6.504645419E1,2.543288384E1,6.969101112E0,1.498295073E0,7.922068572E1,3.600108645E0,4.612173497E0
1.698273244E2,6.504645300E1,2.543291940E1,7.341865552E0,1.511131842E0,8.221533299E1,3.557208616E0,4.571933121E0
1.708273135E2,6.504645192E1,2.543295570E1,7.717130526E0,1.495858634E0,8.163724273E1,3.558851720E0,4.581926120E0
1.718273027E2,6.504645075E1,2.543298669E1,7.644123279E0,1.498514417E0,8.369101922E1,3.550115925E0,4.604532386E0
1.728272929E2,6.504644357E1,2.543301968E1,7.492942699E0,1.517864721E0,9.522044301E1,3.559214419E0,4.763312440E0
1.738272822E2,6.504644030E1,2.543304799E1,6.656092553E0,1.480887282E0,9.575351883E1,3.564877339E0,4.727884026E0
1.748272715E2,6.504643991E1,2.543307918E1,6.546692778E0,1.524159791E0,9.662967236E1,3.518671958E0,4.675219173E0
1.758272618E2,6.504644291E1,2.543310910E1,6.578716675E0,1.479166742E0,8.977609622E1,3.446061202E0,4.529609139E0
1.768272516E2,6.504644757E1,2.543313610E1,6.294078773E0,1.419759232E0,7.870505426E1,3.406611041E0,4.492110194E0
1.778272407E2,6.504645066E1,2.543316502E1,6.106435188E0,1.485651163E0,7.678960658E1,3.411531271E0,4.358229898E0
1.788272308E2,6.504645618E1,2.543319400E1,6.370132474E0,1.497774222E0,7.343611499E1,3.416993207E0,4.329046721E0
1.798272208E2,6.504645694E1,2.543322189E1,6.003807653E0,1.466355303E0,7.761815566E1,3.466791024E0,4.276321716E0
1.808272108E2,6.504646131E1,2.543325251E1,6.310318179E0,1.501582488E0,7.715818448E1,3.525161194E0,4.388994289E0
1.818272007E2,6.504646388E1,2.543328165E1,6.298080445E0,1.502474135E0,7.798025435E1,3.545183505E0,4.433881438E0
1.828271905E2,6.504646936E1,2.543331470E1,6.513168338E0,1.506036274E0,7.806939491E1,3.497053454E0,4.384310979E0
1.838271803E2,6.504647577E1,2.543334907E1,6.908544726E0,1.499756065E0,7.516251311E1,3.517817283E0,4.398047923E0
1.848271712E2,6.504648301E1,2.543337936E1,6.933633680E0,1.481935426E0,7.226972696E1,3.572010020E0,4.398893168E0
1.858271607E2,6.504648851E1,2.543340542E1,6.668750283E0,1.444314652E0,6.855925196E1,3.566156358E0,3.855565736E0
1.868271513E2,6.504648405E1,2.543342994E1,6.575273387E0,1.196679188E0,8.063974147E1,3.587695318E0,3.477137717E0
1.878271412E2,6.504649448E1,2.543342773E1,5.569291342E0,8.200406722E-1,5.589171691E1,3.530672790E0,3.664034776E0
1.888271317E2,6.504649933E1,2.543346942E1,5.406438639E0,1.466038367E0,6.729632435E1,3.546239582E0,3.698091432E0
1.898271213E2,6.504649967E1,2.543350735E1,5.646262099E0,1.515738988E0,7.919234635E1,3.541039328E0,3.970236427E0
1.908271123E2,6.504650311E1,2.543354138E1,5.918052504E0,1.496992460E0,8.341122624E1,3.533423514E0,4.050332096E0
1.918271012E2,6.504650598E1,2.543357067E1,5.567064294E0,1.464144417E0,8.123507503E1,3.457644502E0,3.967719319E0
1.928270924E2,6.504651020E1,2.543359971E1,5.577955726E0,1.435081342E0,7.937600861E1,3.436774383E0,4.066058276E0
1.938270829E2,6.504651118E1,2.543362967E1,5.665470803E0,1.457875559E0,7.845574407E1,3.488611444E0,4.104817388E0
1.948270727E2,6.504651336E1,2.543366240E1,5.878516270E0,1.455217049E0,7.423885862E1,3.455308741E0,4.004029983E0
1.958270628E2,6.504651114E1,2.543369451E1,5.767512621E0,1.472588058E0,8.304081129E1,3.419366394E0,3.910384531E0
1.968270534E2,6.504651054E1,2.543372790E1,6.401086275E0,1.454567308E0,8.741206963E1,3.450012913E0,3.834066397E0
1.978270441E2,6.504650915E1,2.543375607E1,5.976453563E0,1.472256941E0,9.133063509E1,3.456781280E0,3.942754678E0
1.988270341E2,6.504650464E1,2.543378979E1,6.618318054E0,1.506206582E0,9.182487479E1,3.444774584E0,3.950532394E0
1.998270245E2,6.504650151E1,2.543382153E1,6.343398545E0,1.502282297E0,9.279722388E1,3.444835475E0,3.946931330E0
2.008270143E2,6.504649984E1,2.543385368E1,5.959798102E0,1.499313768E0,9.226850469E1,3.428660463E0,3.921538382E0
2.018270054E2,6.504649527E1,2.543388404E1,6.055775633E0,1.473479356E0,9.261051390E1,3.371271124E0,3.894709191E0
2.028269957E2,6.504649260E1,2.543391635E1,5.941915720E0,1.504341008E0,9.670829011E1,3.386844381E0,3.819474525E0
2.038269856E2,6.504650406E1,2.543394738E1,6.139872410E0,1.517811643E0,7.811901847E1,3.551007092E0,4.040453261E0
2.048269765E2,6.504650413E1,2.543397811E1,6.418349562E0,1.493439787E0,7.956491851E1,3.564936712E0,3.949671781E0
2.058269665E2,6.504650487E1,2.543401174E1,6.746006258E0,1.478961368E0,8.077922447E1,3.609932998E0,3.867510703E0
2.068269570E2,6.504649221E1,2.543405062E1,7.111413449E0,1.491231719E0,9.130236405E1,3.634084264E0,4.128744408E0
2.078269478E2,6.504648620E1,2.543409023E1,7.822633142E0,1.511651872E0,8.833633129E1,3.702313647E0,4.356630154E0
2.088269384E2,6.504648069E1,2.543412360E1,7.766170684E0,1.492447599E0,9.255600715E1,3.807597961E0,4.616846036E0
2.098269287E2,6.504647967E1,2.543416327E1,8.346033641E0,1.548830050E0,8.961820708E1,3.842965680E0,4.751994399E0
2.108269185E2,6.504647872E1,2.543419998E1,8.806136896E0,1.535566118E0,8.923618666E1,3.878722275E0,4.802742817E0
2.118269089E2,6.504647938E1,2.543423148E1,8.601556742E0,1.487826974E0,8.290892847E1,3.870274905E0,4.853269997E0
2.128268996E2,6.504648146E1,2.543426228E1,8.511104805E0,1.480037514E0,7.836020921E1,3.882335830E0,4.808981402E0
