"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.117074625E0,-7.873076340E-1,4.267602038E0,6.727378021E-1
3.127006625E0,-1.449526953E0,4.502291733E0,4.884078370E-1
3.136939625E0,-1.825141269E0,4.550495594E0,1.324575609E-1
3.146872625E0,-1.639683230E0,4.601410224E0,-3.659650947E-1
3.156805625E0,-7.283448230E-1,4.906757088E0,-9.691432500E-1
3.166737625E0,1.686214934E-1,5.492595472E0,-1.326898123E0
3.176670625E0,3.474311022E-1,5.993410077E0,-7.707413757E-1
3.186603625E0,-3.649965765E-1,6.206558045E0,7.928238241E-1
3.196536625E0,-1.533464026E0,6.057346457E0,2.533720164E0
3.206468625E0,-2.541353704E0,5.610426223E0,3.692044230E0
3.216401625E0,-3.215524513E0,4.720109287E0,4.181038688E0
3.226334625E0,-3.246550131E0,3.512993715E0,4.372908053E0
3.236266625E0,-2.478945787E0,2.437227657E0,4.226936408E0
3.246199625E0,-1.561299696E0,1.433331481E0,3.956474617E0
3.256132625E0,-1.264237898E0,2.605361420E-1,3.600289721E0
3.266065625E0,-1.468723654E0,-8.626859182E-1,2.869123471E0
3.275997625E0,-1.816911167E0,-1.803507010E0,1.890900226E0
3.285930625E0,-2.029368140E0,-2.372566808E0,6.579392302E-1
3.295863625E0,-2.089719299E0,-2.451037611E0,-7.582879758E-1
3.305796625E0,-2.200128764E0,-2.342303374E0,-1.706994769E0
3.315728625E0,-2.246033500E0,-2.121350543E0,-1.932164465E0
3.325661625E0,-2.057066546E0,-1.766749658E0,-2.004767003E0
3.335594625E0,-1.753284397E0,-1.491695464E0,-1.773279390E0
3.345527625E0,-1.374738141E0,-1.272775710E0,-1.239689825E0
3.355459625E0,-1.048062096E0,-1.224177162E0,-5.023417519E-1
3.365392625E0,-7.501482131E-1,-1.323366405E0,2.666837583E-1
3.375325625E0,-4.222642066E-1,-1.600739604E0,9.594514900E-1
3.385258625E0,-1.419325993E-1,-2.025346863E0,1.275321588E0
3.395190625E0,1.633017331E-1,-2.480832099E0,1.373302211E0
3.405123625E0,3.779087636E-1,-2.996940681E0,1.349762490E0
3.415056625E0,5.728865450E-1,-3.453446256E0,1.099832174E0
3.424989625E0,7.605203696E-1,-3.884431658E0,6.342620999E-1
3.434921625E0,7.736959007E-1,-4.201974644E0,9.871854186E-3
3.444854625E0,6.953516163E-1,-4.483018726E0,-5.350716877E-1
3.454787625E0,6.184752754E-1,-4.620295562E0,-1.152277021E0
3.464719625E0,4.625998716E-1,-4.598752080E0,-1.703239102E0
3.474652625E0,-3.849642333E-2,-4.536872751E0,-1.976954137E0
3.484585625E0,-5.747061619E-1,-4.385505295E0,-2.096344925E0
3.494518625E0,-8.048709156E-1,-4.136648381E0,-2.121086833E0
3.504450625E0,-7.552192108E-1,-3.812147793E0,-2.189192716E0
3.514383625E0,-5.785532278E-1,-3.476298344E0,-2.274359897E0
3.524316625E0,-2.396708646E-1,-2.995429761E0,-2.246788521E0
3.534249625E0,1.151457095E-1,-2.393782260E0,-2.286024508E0
3.544181625E0,4.426236999E-1,-1.688892812E0,-2.218514164E0
3.554114625E0,7.431942657E-1,-8.033436960E-1,-1.838999755E0
3.564047625E0,8.187318865E-1,1.135476655E-1,-1.171656448E0
3.573980625E0,5.111216020E-1,1.011077726E0,-5.325924683E-1
3.583912625E0,-1.090351499E-1,1.929209282E0,-2.323987556E-1
3.593845625E0,-7.946520292E-1,2.806471725E0,-2.812421559E-1
3.603778625E0,-1.375746786E0,3.521175140E0,-4.326594597E-1
3.613711625E0,-1.615845009E0,4.054501433E0,-5.534208351E-1
3.623643625E0,-1.482404677E0,4.507909153E0,-4.162254216E-1
3.633576625E0,-1.129200180E0,4.740666928E0,-1.386119016E-1
3.643509625E0,-5.667877163E-1,4.910723839E0,-1.271289933E-1
3.653441625E0,-1.372004020E-1,4.948009779E0,-2.854008418E-1
3.663374625E0,7.140963279E-2,4.760429347E0,-6.199779367E-1
3.673307625E0,6.508580328E-1,4.767892148E0,-1.187483106E0
3.683240625E0,1.576845835E0,5.177185550E0,-1.683705893E0
3.693172625E0,2.096658044E0,5.700421304E0,-1.593296830E0
3.703105625E0,1.595339116E0,6.072225866E0,-1.082688723E0
3.713038625E0,1.141782329E-1,6.194202293E0,-4.469876231E-1
3.722971625E0,-1.991356560E0,5.613692477E0,7.431900264E-1
3.732903625E0,-3.439299795E0,4.782048258E0,1.449334726E0
3.742836625E0,-3.536862927E0,3.755434479E0,1.477232961E0
3.752769625E0,-2.162766371E0,2.436491493E0,1.697939039E0
3.762702625E0,-2.279070707E-1,1.279288339E0,1.969135971E0
3.772634625E0,1.293686815E0,1.502623326E-1,1.793434011E0
3.782567625E0,2.283568385E0,-9.869521147E-1,1.835458535E0
3.792500625E0,2.864157431E0,-1.837030267E0,1.995046299E0
3.802433625E0,3.088714193E0,-2.448546697E0,2.172111391E0
3.812365625E0,3.124926584E0,-2.755412083E0,2.199431776E0
3.822298625E0,2.892257980E0,-2.871621986E0,2.036763552E0
3.832231625E0,2.575929460E0,-2.869823967E0,1.668873700E0
3.842163625E0,2.142590846E0,-2.808041702E0,1.067659478E0
3.852096625E0,1.601376220E0,-2.638221602E0,4.772848248E-1
3.862029625E0,9.766353605E-1,-2.422713114E0,1.341438979E-1
3.871962625E0,2.435219139E-1,-2.240270630E0,5.345758438E-2
3.881894625E0,-4.890862967E-1,-2.184744301E0,2.100851959E-1
3.891827625E0,-1.093019803E0,-2.203310965E0,3.917026377E-1
3.901760625E0,-1.450977793E0,-2.235870600E0,2.893634999E-1
3.911693625E0,-1.545634274E0,-2.339052907E0,-1.080857813E-2
